objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Black Sheep","36739","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","12834297","5.63628","5.93001","1.4286","7833","2260","thing","Black Sheep","2","4","30","30","30","2008","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Blitzkrieg!: World War Two in 20 Minutes","258210","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","71752577","7.0031","7.5399","1.9059","491","10362","thing","Blitzkrieg!: World War Two in 20 Minutes","1","2","45","45","20","2019","1,2","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Blokus","2453","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","11877964","6.70922","6.86064","1.7315","887","43903","thing","Blokus","2","4","30","30","30","2000","2,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Blood Bowl: Team Manager – The Card Game","90137","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","49761710","7.04658","7.3999","2.3471","443","15450","thing","Blood Bowl: Team Manager – The Card Game","2","4","120","120","60","2011","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Brass: Birmingham","224517","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","93641026","8.39539","8.56741","3.8632","1","82091","thing","Brass: Birmingham","2","4","120","120","60","2018","2,3,4","3,4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Burning Banners","389820","9","4","0","1","0","0","0","0","0","0","0","3","","","","","","121194475","6.30099","8.18653","3.1746","1841","2511","thing","Burning Banners","2","6","180","180","60","2024","2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Call of Cthulhu: The Card Game","40270","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","11860261","6.23912","6.89235","2.9045","2065","5526","thing","Call of Cthulhu: The Card Game","2","2","30","30","30","2008","2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Carcassonne","822","7","1","0","1","0","0","0","0","0","0","0","1","","","","","","4713472","7.29848","7.41594","1.8859","238","221145","thing","Carcassonne","2","5","45","45","30","2000","2,3,4,5","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cards Against Humanity","50381","0","0","1","1","0","0","0","0","0","0","0","3","","","","","","20568299","5.53983","5.71009","1.1721","14563","56089","thing","Cards Against Humanity","4","30","30","30","30","2009","4,5,6,7,8,9,10","6,7,8","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Catan","13","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","11860302","6.90486","7.09137","2.283","612","237472","thing","Catan","3","4","120","120","60","1995","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Caverna: The Cave Farmers","102794","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","131877456","7.73421","7.92467","3.7761","61","48097","thing","Caverna: The Cave Farmers","1","7","210","210","30","2013","1,2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Champions of Midgard","172287","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","50683442","7.41588","7.70414","2.6242","164","26216","thing","Champions of Midgard","2","4","90","90","60","2015","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Champions of Midgard: The Dark Mountains","219787","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50683448","6.84267","7.86699","2.3824","0","9935","thing","Champions of Midgard: The Dark Mountains","2","5","90","90","60","2017","2,3,4,5","4,5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Champions of Midgard: Valhalla","219788","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50683455","7.29905","8.38508","2.9111","0","11431","thing","Champions of Midgard: Valhalla","2","4","120","120","60","2017","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Chez Geek","553","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","7546401","5.58003","5.70344","1.4164","10468","8263","thing","Chez Geek","2","5","60","60","60","1999","3,4,5","4,5","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Chez Geek 2: Slack Attack","2797","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","7546412","5.70445","6.27961","1.4458","0","2209","thing","Chez Geek 2: Slack Attack","2","8","45","45","45","2000","4,5,6,7","5","16+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Chez Geek 3: Block Party","2741","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","7546404","5.72756","6.36578","1.4935","0","2139","thing","Chez Geek 3: Block Party","2","8","45","45","45","2001","4,5,6,7","5","16+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Cockroach Poker","11971","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","58157758","6.60336","6.80194","1.0976","1085","28846","thing","Cockroach Poker","2","6","20","20","20","2004","3,4,5,6","5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Colt Express","158899","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","77621261","6.95268","7.09677","1.8353","554","50949","thing","Colt Express","2","6","40","40","40","2014","3,4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Colt Express: Horses & Stagecoach","181158","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","77621273","6.51768","7.42731","2.1892","0","11845","thing","Colt Express: Horses & Stagecoach","2","6","60","60","30","2015","3,4,5,6","4,5,6","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Compile: Aux  1","417813","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","132685919","5.86852","8.12294","2","0","3404","thing","Compile: Aux  1","2","2","30","30","20","2024","2","2","14+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Compile: Main 1","406652","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","132685908","6.84849","7.84481","2.3623","689","9722","thing","Compile: Main 1","2","2","30","30","20","2024","2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Conan","160010","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","37971941","6.78838","7.62966","2.7717","765","9755","thing","Conan","2","5","90","90","90","2016","2,3,4,5","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Conflict of Heroes: Storms of Steel – Kursk 1943 (Third Edition)","286344","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","109134237","5.89348","8.2595","2.9545","3888","1477","thing","Conflict of Heroes: Storms of Steel – Kursk 1943 (Third Edition)","2","4","240","240","60","2019","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Cranium","891","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","11877905","5.57412","5.68405","1.4158","10910","20737","thing","Cranium","4","99","60","60","60","1998","4,5,6,7,8,9,10,11,12,14,16","8","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Crusader Kings","253574","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","96616567","5.81142","6.82512","3.34","4622","1989","thing","Crusader Kings","1","5","180","180","180","2019","3,4,5","5","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Cry Havoc","192457","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","48972884","6.65294","7.09076","3.2972","993","11096","thing","Cry Havoc","2","4","120","120","60","2016","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Cthulhu: Dark Providence","404509","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","143107099","5.72085","7.49636","3.3478","5846","1278","thing","Cthulhu: Dark Providence","1","5","120","120","90","2025","3,4,5","4,5","14","","","","","","","standalone","","","","","","","","","","","","","","",""
"Cyberpunk 2077: Gangs of Night City","352138","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118993532","5.97016","7.41533","2.8667","3343","1892","thing","Cyberpunk 2077: Gangs of Night City","1","4","120","120","90","2023","1,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Dead of Winter: A Crossroads Game","150376","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","27092964","7.27283","7.44064","3.0143","251","69233","thing","Dead of Winter: A Crossroads Game","2","5","120","120","60","2014","3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Diamonds","152162","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97572158","6.45555","6.85371","1.5506","1419","8340","thing","Diamonds","2","6","30","30","20","2014","3,4,5,6","4,5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dice Settlers","230267","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","55426466","6.2632","6.87182","2.9271","1975","5613","thing","Dice Settlers","1","4","60","60","45","2018","1,2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Diplomacy","483","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","11860334","6.7216","7.03505","3.3237","866","25485","thing","Diplomacy","2","7","360","360","360","1959","6,7","7","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Disney Lorcana","369646","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","113094971","6.45092","7.22114","2.1299","1433","6686","thing","Disney Lorcana","2","6","0","0","0","2023","2","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"DOG","2633","0","10","0","1","0","0","0","0","0","0","0","3","","","","","","49965426","5.86267","6.33473","1.4202","4144","3795","thing","DOG","2","6","45","45","45","1997","4,6","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dojo Kun","179182","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","67110773","5.96221","6.86576","2.7167","3385","2255","thing","Dojo Kun","1","4","90","90","60","2015","1,2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dominion","36218","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","11860306","7.47467","7.59751","2.3448","145","129711","thing","Dominion","2","4","30","30","30","2008","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dominion: Intrigue","40834","10","1","0","1","0","0","0","0","0","0","0","3","","","","","","11860308","7.50238","7.68677","2.4102","133","51209","thing","Dominion: Intrigue","2","6","30","30","30","2009","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Drakon (Third Edition)","23107","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","7546460","6.00261","6.45916","1.8138","3134","3131","thing","Drakon (Third Edition)","2","6","60","60","20","2006","2,3,4,5,6","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dune","283355","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","72620483","7.35241","7.92002","3.9803","210","22330","thing","Dune","2","6","180","180","120","2019","5,6","6","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dune: A Game of Conquest and Diplomacy","341165","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","88013427","5.87038","6.66225","2.6216","4081","3369","thing","Dune: A Game of Conquest and Diplomacy","2","4","60","60","20","2021","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dune: Imperium","316554","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","82443363","8.22384","8.41374","3.0759","5","76686","thing","Dune: Imperium","1","4","120","120","60","2020","1,2,3,4","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dune: Imperium – Immortality","367466","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","102506760","7.50649","8.54678","3.3368","0","18891","thing","Dune: Imperium – Immortality","1","4","120","120","60","2022","1,2,3,4","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Dune: Imperium – Rise of Ix","342031","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","93117830","8.09168","8.80252","3.2265","0","28549","thing","Dune: Imperium – Rise of Ix","1","4","120","120","60","2022","1,2,3,4","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Dungeon Saga: Dwarf King's Quest","160081","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","34509760","5.96929","7.20024","2.4468","3348","3406","thing","Dungeon Saga: Dwarf King's Quest","2","5","120","120","30","2015","2,3,4,5","3,5","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeon Twister","12995","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","11877918","6.40751","6.80269","2.8834","1551","8127","thing","Dungeon Twister","2","2","60","60","60","2004","2","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"DungeonQuest (Third Edition)","71061","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","11860254","6.13389","6.64986","2.1689","2483","4833","thing","DungeonQuest (Third Edition)","1","4","90","90","90","2010","1,2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
